TC_ID | Title | Preconditions | Steps | Expected Result
WEL-001 | Splash (Arrival) screen displays branding and auto-advances | Fresh app install (onboarding not yet completed) | 1. Launch the app | Splash shows wave logo, "MemoryWave" wordmark, and "Some things are too important to forget." on a dark background with a "TAP ANYWHERE TO BEGIN" pill; after 3 seconds it auto-advances to the Three Truths carousel without any tap
WEL-002 | Tapping the splash advances immediately, before the 3s timer | Fresh app install, splash currently showing | 1. Launch the app 2. Tap anywhere on the splash within 1 second | Screen transitions immediately to the Three Truths carousel (does not wait for the 3s auto-timer)
WEL-003 | Three Truths carousel shows all three cards with correct copy | On the Three Truths screen (post-splash) | 1. View the Three Truths screen | Header "WHAT MEMORYWAVE HOLDS" / "Three things we keep for you."; three cards: "Stories" – "Stories, told in the voices you choose." / "2,400+ audiobooks. Any voice. Any time."; "Voices" (highlighted/accent-filled) – "Voices, preserved before time takes them." / "Record once. Keep forever."; "Presence" – "Presence, kept for whenever you need it." / "The people you love, always within reach."; progress dots show step 1 of 5
WEL-004 | Continue from Three Truths advances to the entry-point question | On the Three Truths screen | 1. Tap "Continue" | Advances to "YOUR ENTRY POINT" / "What brings you to MemoryWave today?" screen; progress dots show step 2 of 5
WEL-005 | Selecting entry-point path 1 (explore audiobooks) is recorded | On the entry-point question screen | 1. Tap "I want to explore audiobooks" card | Card shows a brief pressed/selected animation, then auto-advances to the Privacy page; chosen path is stored as 1 (used later on the auth screen's context line and persisted to prefs key mw_onboarding_path once onboarding finishes)
WEL-006 | Selecting entry-point path 2 (preserve a voice) is recorded | On the entry-point question screen | 1. Tap "I want to preserve someone's voice" card | Advances to Privacy page; chosen path stored as 2 — later the auth screen shows "You're joining to preserve a voice. We'll take good care of it."
WEL-007 | Selecting entry-point path 3 (feel close to someone missed) is recorded | On the entry-point question screen | 1. Tap "I want to feel close to someone I miss" card | Advances to Privacy page; chosen path stored as 3 — later the auth screen shows "You're joining to feel close to someone you miss. We'll take good care of you."
WEL-008 | Entry-point screen does not double-advance on rapid double-tap | On the entry-point question screen | 1. Rapidly tap two different path cards in quick succession | Only the first tap registers (a tap guard ignores further taps while one is already in flight); the app advances once to the Privacy page reflecting only the first-tapped path
WEL-009 | Privacy page shows the three privacy pillars and charter link | On the Privacy page (step 4 of the carousel) | 1. View the Privacy page | Shows "BEFORE WE BEGIN"; body text "Every voice you bring here belongs to you. We hold it with the care it deserves."; three pillars: "Always encrypted" / "Protected at rest and in transit", "Never shared" / "We will never sell or share your voices", "Yours to keep or delete" / "Remove any voice, completely, at any time"; button "I understand — let's begin"; link text "Our complete Voice Privacy Charter →"; progress dots show step 4 of 5
WEL-010 | Completing onboarding lands on the auth (sign-up/sign-in) screen | On the Privacy page | 1. Tap "I understand — let's begin" | Onboarding completion is persisted (prefs mw_onboarding_done=true, mw_onboarding_path=<chosen path>); app navigates to the auth screen ("Create your MemoryWave")
WEL-011 | Onboarding is not shown again on a subsequent app launch | Onboarding already completed once on this device (mw_onboarding_done=true), user not logged in | 1. Force-close the app 2. Relaunch it | App skips the entire Welcome flow (splash/carousel/privacy) and opens directly to the auth screen
WEL-012 | "Voice Privacy Charter" link is present but not verified to navigate anywhere in this codebase pass | On the Privacy page | 1. Tap "Our complete Voice Privacy Charter →" | Record actual behavior — this text render as a plain Text widget with no onTap handler visible in welcome_screen.dart at the time of this review; confirm whether it is inert (no-op) or wired elsewhere
LGN-001 | Auth screen shows correct context line for chosen path 1 | Onboarding completed with path 1 (explore audiobooks) selected | 1. Reach the auth screen | Text reads "You're joining to explore audiobooks. 2,400+ titles are waiting." with "explore audiobooks." in accent color
LGN-002 | "I already have an account" reveals the inline sign-in form | On the auth screen, sign-in form collapsed | 1. Tap "I already have an account" | Button label toggles to "Hide sign-in"; an inline card appears below with "WELCOME BACK", Email field, Password field, "Sign in" button, and the note "First sign-in includes a short face & voice verification."
LGN-003 | "Hide sign-in" collapses the inline sign-in form | Sign-in form currently expanded | 1. Tap "Hide sign-in" | Form collapses (animated), button label reverts to "I already have an account"
LGN-004 | Email is required | Sign-in form expanded | 1. Leave Email blank 2. Enter any password 3. Tap "Sign in" | Inline validation under the Email field reads "Email is required"; no network call is made
LGN-005 | Email must contain "@" (client-side check is presence-of-@ only, not a full email regex) | Sign-in form expanded | 1. Enter an email with no "@" character (e.g. "not-an-email") 2. Enter any password 3. Tap "Sign in" | Inline validation reads "Enter a valid email"; no network call is made. Note: any string containing "@" (e.g. "a@b") passes this client check regardless of overall validity — worth a follow-up case
LGN-005b | A minimally-"valid" string containing only "@" passes client-side email validation | Sign-in form expanded | 1. Enter "a@b" as the email 2. Enter any password 3. Tap "Sign in" | No client-side "Enter a valid email" error is shown (the check is only `.contains('@')`); the request proceeds to the backend, which will independently reject it — confirm actual backend response text
LGN-006 | Password is required | Sign-in form expanded | 1. Enter a valid-looking email 2. Leave Password blank 3. Tap "Sign in" | Inline validation under the Password field reads "Password is required"; no network call is made
LGN-007 | Invalid credentials show the correct backend-derived error | Sign-in form expanded; credentials that do not match any account | 1. Enter a non-existent (or wrong-password) email/password pair 2. Tap "Sign in" | Snackbar reads "Invalid email or password." (mapped from HTTP 401); user remains on the auth screen, not logged in
LGN-008 | Disabled account shows the correct error | Sign-in form expanded; an account known to be disabled server-side (HTTP 403) | 1. Enter that account's credentials 2. Tap "Sign in" | Snackbar reads "This account is disabled."
LGN-009 | Network failure during login shows a generic connectivity error | Sign-in form expanded; device offline or backend unreachable | 1. Enter any credentials 2. Tap "Sign in" | Snackbar reads "Could not reach the server. Check your connection."
LGN-010 | Successful login with an already-verified account goes straight to Home (no re-verification) | Sign-in form expanded; account previously completed First-Login Verification on this exact device (local isVerified flag set for that user id) | 1. Enter that account's correct credentials 2. Tap "Sign in" | Snackbar reads "Login successful."; app navigates directly to the Home shell (skips Verification screen), since isVerified is tracked locally per user id and was already set
LGN-011 | Successful login with a never-verified account routes to Verification | Sign-in form expanded; account has correct credentials but has never completed verification on this device (or app data was cleared since) | 1. Enter correct credentials 2. Tap "Sign in" | Snackbar reads "Login successful."; app navigates to the First-Login Verification screen
LGN-012 | "Sign in" button shows a loading state and disables other controls while submitting | Sign-in form expanded, valid credentials entered | 1. Tap "Sign in" and immediately observe the button and the "Begin with Email" / toggle buttons | "Sign in" button shows its loading indicator; "Begin with Email" and the show/hide sign-in toggle become disabled (onPressed: null) until the request completes
LGN-013 | Apple sign-in is a stub, not implemented | On the auth screen | 1. Tap "Apple" | Snackbar reads "Apple sign-in arrives with the real backend."; no navigation occurs, no account is created or logged in
LGN-014 | Google sign-in is a stub, not implemented | On the auth screen | 1. Tap "Google" | Snackbar reads "Google sign-in arrives with the real backend."; no navigation occurs, no account is created or logged in
LGN-015 | "Begin with Email" opens the Registration screen | On the auth screen | 1. Tap "Begin with Email" | Navigates to the Registration screen ("Begin with Email" / "A few details, and your MemoryWave is yours.")
LGN-016 | Logging out and back in with the same account skips verification again | User is logged in, verified, and on Home | 1. Log out 2. On the auth screen, sign in again with the same account's credentials | Snackbar "Login successful."; app goes straight to Home again — logout only clears the session token, it does not clear the locally-stored isVerified flag for that user id
VER-001 | First-Login Verification screen shows correct step-by-step instructions and initial state | User just logged in or registered with an unverified account, camera permission not yet decided | 1. Reach the Verification screen | Title "First-Login Verification"; instructions "Press Start, keep speaking continuously, and follow the head-turn prompts. Detection is automatic."; status row shows "Face marker OFF" and "Pose not locked"; a "Start Verification" button is present
VER-002 | Camera permission prompt appears and camera initializes when granted | Verification screen just opened, camera permission not yet granted, first attempt to use the camera this install | 1. Reach the Verification screen 2. Respond "While using the app" (or "Allow") to the camera permission prompt | Camera preview begins rendering the live front-camera feed inside the preview box; "Start Verification" button becomes enabled
VER-003 | Denying camera permission shows the correct error and disables verification | Verification screen open, camera permission prompt showing | 1. Deny camera permission ("Don't allow") | Preview area shows an error: "Camera could not be initialized: CameraException(CameraAccessDenied, Camera access permission was denied.)"; "Start Verification" button is disabled (camera not ready)
VER-004 | No camera available on the device is handled with a specific message | Device/emulator reports zero available cameras | 1. Reach the Verification screen | Error text reads "No camera found on this device." |
VER-005 | Starting verification without microphone permission fails with a specific message | Camera ready; microphone permission not granted | 1. Tap "Start Verification" without microphone permission | Verification start fails with "Failed to start verification: Exception: Microphone permission is required."; recording does not start
