TC_ID | Title | Preconditions | Steps | Expected Result
AUD-001 | Voice list shows loading state | User opens Audiobooks screen; personas/sessions not yet fetched | 1. Navigate to Audiobooks screen 2. Observe voice picker area immediately after load starts | Voice picker shows a small spinner and text "Loading your voices…" until personas/sessions requests resolve
AUD-002 | Voice list load failure shows retry | Persona service call (VoicesService.list) throws/fails | 1. Open Audiobooks screen with persona API failing 2. Observe voice picker area | Picker shows "Could not load your voices: $e" text with a "Retry" button; tapping Retry re-invokes _loadSessions()
AUD-003 | Voice picker empty state | Account has zero registered personas and zero capture sessions | 1. Open Audiobooks screen 2. Open voice dropdown | Dropdown hint reads "No voices yet — record one first" instead of "Select a voice…"; Generate remains reachable but no voice can be selected
AUD-004 | Persona auto-preselected over session | Account has at least one persona with canNarrate=true and at least one unregistered session | 1. Open Audiobooks screen 2. Observe voice picker's initial value | The newest persona (personas.first) is preselected as 'persona:<id>', not any session, because persona selection short-circuits before sessions are considered
AUD-005 | Newest unregistered session preselected when no personas exist | Account has zero narratable personas but at least one capture session not yet registered as a persona | 1. Open Audiobooks screen with only unregistered sessions available | The newest unregistered session (unregistered.first) is preselected as 'session:<id>'
AUD-006 | Selecting a session voice triggers clone-ready probe | At least one unregistered session exists in the picker | 1. Open voice dropdown 2. Select a session-type entry (label contains "unregistered recording") | _checkCloneReady(sessionId) fires; _selectedCloneReady is set to null (checking) then updated to the probe's result
AUD-007 | Clone-not-ready session blocks generation | A selected session's isCloneReady probe returns false | 1. Select a session voice whose clone is not ready 2. Observe form below the voice picker 3. Attempt to tap "Generate audiobook" | Warning text "This recording has no usable voice reference yet, so it can't narrate. Pick another, or record again." is shown, and the Generate button's onPressed is null (disabled) because _selectedCloneReady == false
AUD-008 | Clone-ready probe failure fails open | isCloneReady() throws for the selected session | 1. Select a session voice while the readiness endpoint is failing | _selectedCloneReady is set to true (fail-open) rather than blocking the user, per the "let the API be the judge" comment; Generate button stays enabled
AUD-009 | Personas that cannot narrate are excluded from picker | Account has a persona with canNarrate=false among its voices | 1. Open Audiobooks screen 2. Open voice dropdown | Only personas where v.canNarrate is true appear in the persona list; the non-narratable persona is absent
AUD-010 | Sessions already registered as a persona are hidden | A capture session's id matches an existing persona.sessionId | 1. Open Audiobooks screen with a session that has a registered persona 2. Open voice dropdown | That session does NOT appear separately in the session list (registered sessions are filtered out via the `registered` set), avoiding a duplicate voice entry
AUD-011 | Generate blocked when voice/title/text missing | No text source (widget.sourceBookId/sourcePdfId both null) | 1. Leave Title and Book text empty, or leave voice unselected 2. Tap "Generate audiobook" | Form shows error "A voice, a title and some text are all required." and no generation.start() call is made
AUD-012 | Generate blocked when text exceeds 20,000-char cap | No server source (typed-text flow); text field has >20,000 characters | 1. Paste/type text over 20,000 characters into Book text 2. Fill Title and select a Voice 3. Tap "Generate audiobook" | Form error reads "Text is {count} characters — the limit is 20,000." (values formatted with thousands separators, e.g. "Text is 20,150 characters — the limit is 20,000."); AudiobooksService.maxTextChars = 20000 is the cap and no request is sent
AUD-013 | Character counter highlights when over cap | Book text field is being edited | 1. Type text approaching, then exceeding, 20,000 characters 2. Observe the "X / 20,000" counter under the text field | Counter text turns accent-colored and bold (FontWeight.w700) once _charCount > 20000; otherwise it stays ink3/regular weight
AUD-014 | Form fields disabled while a narration is running | A generation task is currently active (isBusy == true) | 1. Start a narration 2. While it is still queued/running, revisit the Audiobooks screen form | Voice dropdown onChanged is null, Title/Style/Book-text TextFields have enabled:false, auto-emotion checkbox onChanged is null, and Generate button shows loading:true with onPressed null
AUD-015 | Server-sourced generation via book_id skips text entry | Screen opened with sourceBookId set (catalogue title) | 1. Open Audiobooks screen with a non-null sourceBookId 2. Observe the "Source" section | Book-text TextField is replaced by a "Source" card showing sourceSummary text and the note "The full text is narrated from the store copy — no length limit, and nothing to paste in."; the 20,000-char cap check is skipped (_hasServerSource true) even if local text is empty
AUD-016 | Server-sourced generation via pdf_id | Screen opened with sourcePdfId set (a store PDF, e.g. the 34-page PDF under "Your Books · PDF") | 1. Open Audiobooks screen with sourcePdfId populated 2. Fill Title and select a Voice 3. Tap "Generate audiobook" | generation.start() is called with pdfId set and text/bookId following the same "exactly one source" rule; server reads the PDF's text itself rather than the app sending it, confirming audiobooks can be generated directly from a stored PDF using the selected voice
AUD-017 | Default source summary when none supplied | sourceBookId or sourcePdfId is set but sourceSummary is null | 1. Open Audiobooks screen with a server source and no sourceSummary | Source card falls back to displaying "A title from the store" as the heading text
AUD-018 | "Loaded from <file>" hint shown for imported text | Screen opened with sourceFilename set and initialText populated (e.g. from the PDF page picker's "Use selection in Audiobooks") | 1. Open Audiobooks screen via the PDF picker with a filename and extracted text | Text-source form shows "Loaded from <sourceFilename> — review the extracted text before generating." above the editable text box, and the text box is pre-filled with initialText
AUD-019 | Narration style left blank is sent as null | Style field ("Narration style (optional)") left empty | 1. Fill Voice, Title, Text 2. Leave Narration style blank 3. Tap Generate | AudiobooksService.create() sends voice_style: null (not an empty string) per the trim/blank check, matching web-client behavior
AUD-020 | Auto-emotion checkbox default and toggle | Audiobooks screen freshly opened | 1. Observe the "Auto emotion direction: narrate each passage on the emotion-matched clip" row 2. Tap the row/checkbox to toggle it | Checkbox is checked (_autoEmotion = true) by default; tapping toggles the state and the value is passed as auto_emotion on generate
AUD-021 | Successful submit shows "Narration started" dialog | Valid voice, title, and text/source supplied; MwGenerationScope is available; not currently busy | 1. Fill a valid form 2. Tap "Generate audiobook" | A non-dismissible-by-barrier AlertDialog appears titled "Narration started" with body text "\"{title}\" is being narrated. This usually takes 10–15 minutes." and "You don't have to wait here — carry on using the app and we'll notify you the moment it's ready. You can follow its progress at the bottom of the screen."; an "OK" button closes it
AUD-022 | Generate button disabled while another narration runs | isBusy is already true from a prior submission | 1. Start one narration 2. Attempt to fill and submit the form again before it finishes | "Generate audiobook" button is disabled (loading spinner shown), and helper text "A narration is already running. You can start another one when it finishes — we'll notify you." is displayed below it
AUD-023 | Generation unavailable when scope missing | MwGenerationScope.maybeOf(context) returns null (e.g. widget rendered outside the app shell) | 1. Attempt to submit a valid generate form in a context with no MwGenerationScope ancestor | Form error is set to "Generation is unavailable right now." and no task is created
AUD-024 | In-flight task appears above the audiobook list | A generation task has been started and is still active | 1. Start a narration 2. Scroll to "Your audiobooks" | The task appears as a queued-style row above existing books, showing task.title and task.statusLabel, with a small "queued"/"running" badge and a spinning progress indicator
AUD-025 | Task status label reflects generation stage | A GenerationTask progresses through its lifecycle | 1. Start a narration and observe its status text over time | Label reads "Starting…" (stage=starting), then "Queued — one narration runs at a time" (queued), then the latest SSE detail or "Narrating…" (running), then the row disappears from "in-flight" once done (replaced by the finished book)
AUD-026 | Generation failure is surfaced with a reason | The create() call or job-follow logic errors out | 1. Trigger a generation that fails server-side or via a dropped/failed job | task.stage becomes failed and task.error holds a message such as "Generation failed: $e", "Narration failed.", or "Narration finished with status \"{status}\"."; statusLabel falls back to "Narration failed" if error is null; a local "audiobook failed" notification is shown via NotificationService
AUD-027 | Completed generation refreshes the book list automatically | AudiobooksScreen is open while a tracked task completes | 1. Start a narration and keep the Audiobooks screen open until it finishes | _onGenerationComplete() fires via the completion listener and calls _loadBooks(), so the finished book appears in "Your audiobooks" without a manual pull-to-refresh
AUD-028 | Empty audiobook library state | Account has zero audiobooks and zero in-flight tasks | 1. Open Audiobooks screen for an account with no books generated yet | "Your audiobooks" section shows "Nothing generated yet." instead of a list
AUD-029 | Audiobook list loading indicator | Books list is being fetched (_loadingBooks true) | 1. Open or refresh the Audiobooks screen | A centered MwLoader (small) is shown in place of the list while loading
AUD-030 | Audiobook list load failure message | AudiobooksService.list() throws for all pipeline versions | 1. Open Audiobooks screen while the audiobooks API is failing | "Could not load your audiobooks: $e" is displayed in place of the list
AUD-031 | Pull-to-refresh reloads voices and books together | Audiobooks screen is open | 1. Pull down on the list to trigger RefreshIndicator | Both _loadSessions() and _loadBooks() are re-invoked concurrently (Future.wait)
AUD-032 | Manual refresh icon reloads the book list | Audiobooks screen is open, not currently loading | 1. Tap the refresh IconButton next to "Your audiobooks" | _loadBooks() runs again; the icon's onPressed is null (disabled) while _loadingBooks is true
AUD-033 | Non-playable audiobook row is not tappable | An audiobook exists whose manifest is null or has zero chapters (e.g. still processing or errored) | 1. View "Your audiobooks" list 2. Tap a row whose status/manifest indicates it isn't playable | Row's onTap is null (book.isPlayable false), title is shown in ink2 (not accent) color, and an hourglass_empty icon is shown instead of play_arrow; tapping does nothing
AUD-034 | Playable audiobook row opens the player | An audiobook has manifest.chapters non-empty | 1. Tap a playable audiobook row | Navigates via MaterialPageRoute to AudiobookPlayerScreen, passing apiClient, the AudiobooksService instance, and the selected Audiobook
AUD-035 | Status badge color coding | Audiobooks with statuses done/error/cancelled/queued/running exist | 1. View the audiobook list and in-flight tasks with varying statuses | Badge for "done" renders in green (#3D5A2A); "error" and "cancelled" render in the accent (red/warning) color; any other status (queued/running/unknown) renders in ink3 (grey); badge text is the uppercase status
AUD-036 | Player screen shows loading spinner while preparing | AudiobookPlayerScreen just pushed for a book | 1. Open a playable audiobook | A centered large MwLoader is shown while _prepare() re-fetches the book (if not yet playable) and builds audio sources
AUD-037 | Player screen error state for a book with no chapters | Book's manifest is null or has an empty chapters list even after refetch | 1. Open an audiobook whose chapters end up empty | Error text "This audiobook has no chapters yet (status: {status})." is shown centered with a "Retry" button that re-runs _prepare()
AUD-038 | Player re-fetches book detail when not yet playable | The Audiobook object passed in is not yet playable (e.g. list was stale) | 1. Open a book that just finished generating while the cached list was stale | AudiobookPlayerScreen calls audiobooksService.getById(book.id, version: book.apiVersion) to refresh the manifest before building audio sources
AUD-039 | Generic load failure on the player screen | ApiClient/AudioPlayer setAudioSources throws (e.g. network error) | 1. Open a book while media/API access fails | Error text "Could not load this audiobook: $e" is shown with a Retry button that calls _prepare() again
AUD-040 | Chapter list tap seeks to chosen chapter | Book has 2+ chapters loaded in AudiobookPlayerScreen | 1. Open the chapter list 2. Tap a chapter other than the current one | _player.seek(Duration.zero, index: index) is called, jumping playback to the start of that chapter
AUD-041 | Current chapter is visually highlighted | Playback is on a specific chapter index | 1. Play/seek into a chapter 2. Observe the chapter list | The current chapter's index number and title render in accent color (title bold), and a graphic_eq icon appears as trailing; other rows show ink/ink3 and no trailing icon
AUD-042 | Chapter title falls back to "Chapter N" when empty | A chapter's title field from the manifest is an empty string | 1. Load a book whose manifest chapter has title: "" | List row displays "Chapter {index+1}" instead of a blank title
AUD-043 | Play/pause toggle and completed-state replay | AudiobookPlayerScreen transport is visible | 1. Tap the center play button while paused 2. Tap again to pause while playing 3. Let/force playback to processingState.completed, then tap play again | Paused→playing calls _player.play(); playing→paused calls _player.pause(); if processingState is completed, tapping seeks to (Duration.zero, index:0) then plays again instead of doing nothing
