TC_ID | Title | Preconditions | Steps | Expected Result
HOM-001 | Home shows first-run cards when account has no content | User logged in, past First-Login Verification; account has 0 audiobooks, 0 documents, 0 recorded voices | 1. Open app to Home tab 2. Observe body content | HomeScreenState._isFirstRun is true (audiobooks.isEmpty && documents.isEmpty && voiceCount==0), so `_firstRunBody()` renders: card 1 "Bring your voice into every story" with action "Record your voice"; card 2 "Turn any PDF into an audiobook" with action "Add your first PDF"; card 3 "A library of 2,400+ audiobooks" with action "Browse the library"
HOM-002 | First-run masthead greeting reads "Welcome," | Same as HOM-001 (first-run account) | 1. Open Home tab while account has no content 2. Observe masthead greeting text | Masthead greeting is the literal string 'Welcome,' (not the time-based greeting), per `_isFirstRun ? 'Welcome,' : mwGreeting()`
HOM-003 | Home masthead shows time-based greeting and first name once content exists | User logged in; account has at least 1 audiobook or document or recorded voice (e.g. real account "Kazi" with 2 audiobooks + 1 PDF) | 1. Open Home tab 2. Observe masthead greeting and name | Greeting is `mwGreeting()` (time-based, e.g. "Good morning,"), not "Welcome,"; name shown is `mwFirstName(profile.full_name ?? user.name)` — e.g. "Kazi"; masthead name is sourced from `/api/me`'s `full_name` field, falling back to the locally-known user name if that call fails
HOM-004 | Home shows loading indicator while initial data fetches | User logged in, fresh navigation to Home tab | 1. Navigate to Home tab 2. Observe screen before network calls resolve | Body shows `Center(child: MwLoader(width: MwLoader.medium))` while `_loading` is true; masthead is still rendered above it
HOM-005 | Pull-to-refresh reloads Home data | User on Home tab with data already loaded | 1. Pull down on the Home list to trigger refresh | `RefreshIndicator.onRefresh` calls `load()` again, re-fetching `/api/me`, playback current, audiobooks, documents, capture sessions and volume, then rebuilds sections with fresh data
HOM-006 | Home renders empty sections rather than an error page on network failure | User logged in; simulate one or more of `/api/me`, playback/current, audiobooks list, documents list, or capture sessions failing | 1. Trigger Home load with one or more backing API calls failing 2. Observe screen | Each call is wrapped in `_safe()`, which catches errors and returns null; the affected section falls back to its empty value (e.g. empty audiobooks rail, empty documents grid, name falls back to `widget.user.name`) — no full-screen error is shown, screen remains otherwise usable
HOM-007 | "Nothing playing yet" hero shown when nothing has ever been played | User logged in; NowPlayingController has no book loaded and `/api/me`'s playback/current has no book (`_current == null` or `!hasBook`) | 1. Open Home tab with no playback history | Hero card shows title "Nothing playing yet" and body "Pick one of your audiobooks and it will pick up here, right where you left it." with a headphones icon placeholder cover; card is not tappable
HOM-008 | Last-played hero card reflects server's last position, gated on a matching owned book | User logged in; nothing currently loaded in the live player, but `/api/playback/current` returns a previously-played book | 1. Open Home tab 2. Observe hero card 3. Case A: the played book's id exists in `_myAudiobooks` 4. Case B: the played book's id is not found in `_myAudiobooks` | Card shows title (or "Untitled"), author or "{fraction*100}% complete", and a progress bar sized to `current.fraction`; in Case A the card and its play disc are tappable and open the player (playing only if `match.isPlayable`); in Case B `onTap` and `trailing` are null — the card is inert
HOM-009 | Live hero card reflects actively playing book with chapter/time and play-pause | User logged in; a book is currently loaded in NowPlayingController (e.g. just opened from the rail) | 1. Start playing an audiobook 2. Return to Home tab 3. Observe hero card while audio plays | Hero shows the live book's cover/title; meta is "Loading…" until duration is known, then "{Chapter N of M or 'In progress'} · {minutes-left text}"; minutes-left renders as "less than a minute left" (<1 min), "$m min left" (<60 min), or "$h h $m m left" (>=60 min); tapping the card opens PlayerScreen; the trailing disc shows a spinner while buffering/loading and toggles play/pause otherwise via `controller.togglePlayPause`
HOM-010 | Audiobooks rail empty state prompts recording | Account has 0 audiobooks (but may have documents/voices) | 1. Open Home tab with no narrated audiobooks | "Your audiobooks" rail area shows the empty row: icon, title "Nothing narrated yet", body "Record your voice, then turn any text into an audiobook.", and action button "Record" which calls `onRecordVoice`
HOM-011 | Audiobooks rail lists real books; playable vs. still-narrating tiles behave differently | Account has at least 1 audiobook, at least one of them still generating (not playable) | 1. Open Home tab 2. View "Your audiobooks" rail 3. Tap a playable tile 4. Tap a non-playable ("still narrating") tile 5. Tap the "All N" header action | Rail is a horizontal `ListView.separated` of `MwCarouselTile`s labelled with the book title and "Read by {voiceStyle}" or "Your voice"; playable tiles open the player via `onOpenPlayer`; non-playable tiles render dimmed (`dim: true`) and have `onTap: null`; the section header shows "All {count}" only when `_myAudiobooks` is non-empty and tapping it calls `onOpenLibrary`, switching the shell to the Library tab
HOM-012 | PDF grid shows dimmed sample cards with disclosure note when account has no documents | Account has 0 uploaded PDFs | 1. Open Home tab with no documents | "Your books · PDF" area shows `MwSampleData.myDocuments` rendered 2-up at opacity 0.55, each with `onTap: null` (not tappable), captioned "Examples — add a PDF and yours appear here." below
HOM-013 | PDF grid shows real documents and opens the page picker on tap | Account has at least 1 uploaded PDF (e.g. a 34-page PDF) | 1. Open Home tab with a document present 2. Observe the PDF card 3. Tap the card | Card title is the filename with extension stripped, meta is "{pageCount} pages" (e.g. "34 pages"); documents render two per row in API order; tapping navigates to `BookPagesScreen` for that document, and Home reloads (`load()`) on return
HOM-014 | Adding a PDF from Home: success path uploads, refreshes, and opens the page picker; cancel is a no-op | User logged in on Home tab | 1. Trigger "Add your first PDF" / add-PDF action 2. In the file picker, cancel without choosing a file 3. Repeat, this time selecting a valid PDF | Cancelling (picker returns null path) does nothing — no snackbar, no upload; selecting a file shows snackbar "Uploading your PDF…", uploads via `DocumentsService.upload`, then calls `_refreshAll()` across all four tabs and opens `BookPagesScreen` for the new document
HOM-015 | PDF upload failure surfaces an error snackbar | User logged in; PDF upload will fail (e.g. server/network error) | 1. Pick a PDF to upload 2. Simulate upload failure | Snackbar shows "Upload failed: $e" with the caught exception; Home is not refreshed and no navigation occurs
HOM-016 | Bottom navigation switches tabs and preserves each tab's state | User logged in, on any tab | 1. Scroll/interact on Home tab (e.g. scroll list) 2. Tap "Today" in bottom nav 3. Tap "Library" 4. Tap "Voices" 5. Return to "Home" | Tapping a tab updates `_tabIndex` and the body swaps within an `IndexedStack`, so each screen's scroll position/state is preserved (not rebuilt) when navigating away and back; tab labels are Home/Today/Library/Voices with icons `home`/`calendar_today`/`library_books`/`graphic_eq`
HOM-017 | Mini-player strip is hidden on Today but shown on other tabs while something plays | A book is currently loaded/playing in NowPlayingController | 1. Start playing a book 2. Switch to Today tab 3. Switch to Home, Library, and Voices tabs in turn | On Today tab the mini-player strip renders as `SizedBox.shrink()` (Today has its own resume card with playback controls, so the strip is suppressed); on Home/Library/Voices it shows the strip with the book title and meta "Read by {voiceStyle}" or "Your voice", a play/pause toggle, and tapping it opens PlayerScreen
HOM-018 | Today tab masthead shows fixed "Today," greeting and user's first name | User logged in, viewing Today tab | 1. Open Today tab | Masthead greeting is the literal 'Today,' (never time-based) and name is `mwFirstName(profile.fullName)` from `ProfileService.me()`
HOM-019 | Today resume card reflects the live playing book with elapsed/total clock and toggle | A book is currently loaded/playing in NowPlayingController | 1. Open Today tab while a book is playing | Card shows eyebrow "PICK UP WHERE YOU LEFT OFF", the book cover/title, and either "Loading…" (duration unknown) or "{position} of {duration}" in mm:ss or h:mm:ss format; progress bar reflects `position/duration`; tapping the card opens the player; the circular button toggles play/pause via `controller.togglePlayPause`
HOM-020 | Today shows "A quiet day so far" when nothing has ever been played and no playable audiobooks exist | Nothing loaded in the live player; account's audiobooks list is empty or none are `isPlayable` | 1. Open Today tab with no playback history and no playable audiobooks | Card shows "A quiet day so far" with body "Nothing has been played yet. Narrate something in your own voice and it will wait for you here." — non-interactive (no onTap)
HOM-021 | Today suggests the newest playable audiobook when nothing is live but one exists | Nothing loaded in the live player; account has at least one audiobook with `isPlayable == true` | 1. Open Today tab | Card shows eyebrow "START WHERE YOU LEFT OFF", the first playable audiobook's title, and "Read by {voiceStyle}" or "Narrated in your voice"; tapping the card calls `onOpenPlayer` for that book
HOM-022 | Today stat tiles show placeholders on failure and correct values on success | Case A: `/profile/stats` fails; Case B: stats load successfully with known hours/finished/audiobooks counts | 1. Open Today tab under Case A 2. Observe "Your listening" tiles 3. Repeat under Case B | On failure all three tiles ("Hours", "Finished", "Narrated") show "—"; on success each shows the rounded value zero-padded to 2 digits (e.g. "05"), via `two(value)`
HOM-023 | Today "Picked for today" shows dimmed samples with a disclosure toast when the catalogue is empty, or real titles that open the book detail sheet | Case A: `CatalogueService.list()` returns empty; Case B: catalogue returns at least one title | 1. Open Today tab under Case A, tap a pick tile 2. Repeat under Case B, tap a pick tile | Case A: tiles are `MwSampleData.audiobooks` at opacity 0.72 with caption "Examples — the catalogue fills in once titles are published."; tapping one shows snackbar "The public catalogue is not open yet — these are examples."; Case B: real `Book` titles render undimmed and tapping one opens `showBookDetailSheet` for that book
LIB-001 | Library shows loading indicator while initial data fetches | User logged in, navigating to Library tab | 1. Navigate to Library tab 2. Observe screen before data resolves | Body shows `Center(child: MwLoader(width: MwLoader.medium))` while `_loading` is true; header, search bar and shelf segmented control render above it regardless
LIB-002 | Library header text reflects preview vs. real counts for both shelves | Case A: all three public catalogues (books/voices/pdfs) empty, no owned documents/audiobooks; Case B: catalogues and owned items both populated | 1. Open Library on Public shelf under Case A, then Case B 2. Switch to "Your Library" shelf under Case A, then Case B | Public/Case A: "{sample audiobooks+voices+documents count} titles · a preview of the store"; Public/Case B: "{published count} title(s) · yours to narrate" with correct singular/plural; Your Library/Case A (nothing owned): "Nothing of yours here yet"; Your Library/Case B: "{owned count} item(s) · yours to narrate" with correct singular/plural
LIB-003 | Public / Your Library segmented control switches shelves | User on Library tab with data loaded | 1. Tap "Your Library" segment 2. Tap "Public" segment | Body swaps between `_publicShelf()` (with category chips + price tabs) and `_yourShelf()` (dashed actions + owned items); category chips and price tabs are visible only on the Public shelf
LIB-004 | Public shelf category and price filters narrow results correctly | Public shelf; catalogue contains a mix of free and paid audiobooks, voices, and PDFs | 1. Select "Audiobook" category, then "Voice", then "PDF" 2. On each category, select "All", "Free", then "Paid" price tabs | Category chip selection switches which of `_publicAudiobookRows()`/`_voiceRows()`/`_publicPdfRows()` is displayed; price tab applies `_matchesPrice()` (All: no filter, Free: `isFree==true`, Paid: `isFree==false`) to whichever shelf (real or sample) is showing, filtering the visible rows accordingly
LIB-005 | Search filters rows on both shelves with distinct empty-state copy | Public shelf has searchable titles; a search term matches nothing | 1. Enter a search term matching an existing title 2. Clear it and enter a term matching nothing, with price filter on "All" 3. Switch price filter to "Free" with an empty search term but a shelf that returns no free rows | Matching term filters rows case-insensitively on title/author (or trait line for voices) via `_matches()`; step 2 shows empty state 'No {kind} match "{query}".'; step 3 (no query, filtered by price) shows 'No {free/paid} {kind} yet.' — the two empty messages are distinct and mutually exclusive based on whether `_query` is non-empty
LIB-006 | Clear-search (x) button appears only with text and clears the field | Library search bar | 1. Type text into the search field 2. Tap the x icon that appears | The x icon only renders when `_searchController.text.isNotEmpty`; tapping it clears the controller and re-filters all shelves to the unfiltered state
LIB-007 | Voice search shows a permission prompt when unavailable | Device/emulator denies microphone or speech-recognition access | 1. Tap the mic icon in the search bar | `_speech.initialize()` returns false/unavailable; snackbar shows "Voice search needs microphone and speech permission."; `_listening` stays false, mic icon remains `mic_none`
LIB-008 | Voice search listening state updates UI and populates the search field | Microphone/speech permission granted | 1. Tap the mic icon to start listening 2. Speak a phrase 3. Tap the mic icon again to stop | While listening: search bar border tints accent color, hint text becomes "Listening…", mic icon becomes filled `mic`; recognized words populate `_searchController.text` live via `onResult`; tapping again calls `_speech.stop()` and sets `_listening` back to false
LIB-009 | Public Audiobook shelf falls back to dimmed sample rows with a store-preview caption when the catalogue is empty | `/api/books` returns no titles | 1. Open Library, Public shelf, Audiobook category | Rows render from `MwSampleData.audiobooks` at opacity 0.72; below the list, a caption box reads "A preview of the store" / "These titles and voices show how the public shelf will look. Nothing has been published here yet."; tapping any sample row calls `_sampleTapped()`, showing snackbar "The store is not stocked yet — this row is an example."
