TC_ID | Title | Preconditions | Steps | Expected Result
VOI-001 | Voices screen shows loading spinner before data arrives | Logged in, First-Login Verification passed, Voices screen about to load | 1. Navigate to the Voices screen 2. Observe state before network calls resolve | Center-screen MwLoader (medium) is shown while `_loading` is true; the four parallel fetches (`mine`, `list`, `marketplace`, `listSessions`) are in flight
VOI-002 | Empty state when no voices and no unregistered sessions exist | Logged in; `voices/mine` and `capture/sessions` both return empty | 1. Open Voices screen and let it finish loading | "Your voices" section shows the empty card with icon and text "No voice recorded yet. Thirty seconds of reading is enough for MemoryWave to learn how you speak." instead of any voice/session rows
VOI-003 | Pull-to-refresh reloads all four shelves | Voices screen loaded with at least one voice already listed | 1. Pull down on the voice list to trigger RefreshIndicator | `load()` re-runs (mine, list, marketplace, listSessions again); rows update to reflect latest server state; refresh indicator uses accent color
VOI-004 | Ready voice with traits shows trait line as subtitle | A `mine` voice with status "ready" and non-empty `traits` | 1. Load Voices screen | Row subtitle equals `traits.join(' · ')` (e.g. "Deep · Warm · Considered"), not "Ready to narrate"
VOI-005 | Ready voice with no traits shows fallback subtitle | A `mine` voice with status "ready" and empty `traits` list | 1. Load Voices screen | Row subtitle reads exactly "Ready to narrate"
VOI-006 | Shared ready voice shows listening count and Withdraw action | A `mine` voice with status "ready" and visibility "shared" (`isShared` true), `activeGrants` = 3 | 1. Load Voices screen | Subtitle reads "Lent · 3 listening"; trailing control is a TextButton labeled "Withdraw" (not "Lend")
VOI-007 | Pending voice shows preparing subtitle and hourglass icon, no action | A `mine` voice with status "pending" (not ready, not failed) | 1. Load Voices screen | Subtitle reads "Preparing · ready in a few minutes"; trailing widget is a static hourglass_empty icon (not tappable), since `isReady` is false
VOI-008 | Failed voice shows failure subtitle and error icon | A `mine` voice with status "failed" | 1. Load Voices screen | Subtitle reads "Preparation failed — record again"; trailing widget is a static error_outline icon, no retry button on this screen itself
VOI-009 | Unregistered capture session listed under Your voices | A capture session from `listSessions` whose id is not present in any `mine` voice's `sessionId` | 1. Load Voices screen | Session appears below the `mine` rows with subtitle "Recorded · not named yet" and a "Register" TextButton; avatar initials = first letter of session name uppercased, or "?" if name is empty
VOI-010 | Register dialog pre-fills the session's existing name | An unregistered session row is visible, e.g. session.name = "Morning take" | 1. Tap "Register" on the unregistered row | Dialog titled "Name this voice" opens with a TextField pre-populated with "Morning take" and autofocused
