TC_ID | Title | Preconditions | Steps | Expected Result
PROF-001 | Profile screen loads successfully | User is logged in, has passed First-Login Verification, GET /api/me succeeds | 1. Navigate to the Profile screen 2. Wait for load to finish | Loading spinner is replaced by full content: avatar with initials, "Member — {plan} Edition" subtitle, Hours/Finished/Shelved stat tiles, usage card, premium card, "Account" section header and account rows all render
PROF-002 | Loading indicator shown while profile fetches | Profile screen just opened, GET /api/me not yet resolved | 1. Open Profile screen 2. Observe immediately | An MwLoader spinner is centered on screen; no content renders until loading completes
PROF-003 | Profile load failure shows error view with Retry | GET /api/me throws/fails | 1. Open Profile screen 2. Simulate /api/me failure | Spinner is replaced by an error view reading "Could not load your profile: {error}" centered, with a "Retry" text button beneath; no profile content shown
PROF-004 | Retry after failure reloads the profile | Profile screen is in the error state from a prior /api/me failure | 1. From the error view tap "Retry" 2. Ensure /api/me now succeeds | Screen re-enters loading state then renders the profile content normally; error message clears
PROF-005 | Pull-to-refresh reloads profile data | Profile screen has already loaded once | 1. Pull down on the list to trigger RefreshIndicator 2. Observe | _load() re-runs: identity, stats, usage and premium cards refresh with the latest server data
PROF-006 | Secondary data failure degrades only its own card | GET /api/me succeeds but one of GET /api/me/stats, GET /api/me/entitlements, GET /api/billing/subscription or GET /api/plans fails | 1. Open Profile with one secondary endpoint failing 2. Observe which sections render | Only the card tied to that failed call degrades (e.g. stat tiles show "—", or usage card shows "Usage is unavailable right now."); the rest of the page renders normally because each secondary call is wrapped independently in a try/catch that returns null on failure
PROF-007 | Edit-name dialog opens prefilled; Cancel discards | Profile loaded, full name known | 1. Tap the pencil icon next to the display name 2. Observe dialog is prefilled 3. Change the text then tap "Cancel" | "Your name" dialog opens with the field pre-filled and focused; tapping "Cancel" closes it with no PATCH /api/me call and the displayed name unchanged
PROF-008 | Saving an unchanged or empty name is a no-op | Edit-name dialog open | 1. Open edit-name dialog 2. Leave the name unchanged, or clear the field entirely 3. Tap "Save" | No PATCH /api/me call is made (newName null/empty/equal to current short-circuits before the API call); UI unchanged
PROF-009 | Saving a new valid name updates the profile | Edit-name dialog open with a different, non-empty name entered | 1. Open dialog, enter "Jane Doe" 2. Tap "Save" | A brief spinner replaces the edit icon; PATCH /api/me is called with full_name="Jane Doe" (trimmed); on success the displayed name updates to the new value
PROF-010 | Saving name failure shows an error snackbar | PATCH /api/me fails after Save is tapped | 1. Edit name, tap "Save" 2. Simulate PATCH /api/me failure | Saving spinner clears; snackbar reads "Could not save your name: {error}"; previously displayed name is retained
PROF-011 | Member badge text reflects plan-name resolution logic | (a) UserProfile.plan is empty (b) plan id matches the fetched premium Plan.id (c) plan is non-empty but GET /api/plans failed or has no matching plan | 1. Load Profile with plan="" 2. Load Profile with plan equal to a fetched premium Plan.id 3. Load Profile with plan="premium" and no matching Plan available | (a) subtitle reads "Member — Free Edition"; (b) subtitle reads "Member — {Plan.name}" (the real display name, e.g. "Premium Edition"); (c) subtitle falls back to a capitalized id, e.g. "Member — Premium Edition"
PROF-012 | Stat tiles show placeholders when stats unavailable | GET /api/me/stats failed | 1. Load Profile with the stats call failing | Hours, Finished and Shelved tiles each display "—" instead of a number
PROF-013 | Stat tiles show zero-padded values | GET /api/me/stats returns hoursListened=7, finished=3, shelved=12 | 1. Load Profile with those stats values | Tiles render "07" (Hours), "03" (Finished), "12" (Shelved) — each rounded and left-padded to 2 digits
PROF-014 | Usage card shows unavailable message when entitlements missing | GET /api/me/entitlements failed | 1. Load Profile with the entitlements call failing | Usage card renders only the text "Usage is unavailable right now." with no limit rows
PROF-015 | Usage card renders plan header and formatted limit values | GET /api/me/entitlements succeeds with plan and mixed limit types (counter, unlimited, flag) | 1. Load Profile with entitlements plan="premium" and limits including a counted item, an unlimited item (limit=-1) and a capability flag | Header reads "PREMIUM · USAGE"; a counted limit shows "{used} of {limit}" (e.g. "3 of 5"); an unlimited one shows "{used} of infinity"; a flag shows "Included" or "Not included" per its allowed value
PROF-016 | Usage rows near their limit or disallowed are highlighted | A counted limit's used/limit fraction is >=0.8, or a flag limit has allowed=false | 1. Load Profile with a limit at 80%+ usage and a flag limit with allowed=false | Both rows render their value text in the accent (warning) color rather than the default ink color; a flag with allowed=true and a limit below 80% render in the default color
PROF-017 | Usage card shows renewal date when present | entitlements.renewsAt is set | 1. Load Profile with entitlements.renews_at set to a future date | Below the limit rows, text reads "Renews {Month Year}" (e.g. "Renews March 2027")
PROF-018 | Premium card visibility and content for a free user | No non-free plan exists from GET /api/plans (card hidden case) vs. a premium Plan is available and user is on free tier (upsell case) | 1. Load Profile with GET /api/plans returning no non-free plan 2. Load Profile again with a premium Plan available and user on the free plan | (1) Neither the upsell card nor the state card renders (SizedBox.shrink); (2) an ink-colored card shows the plan name uppercase, "The full library" heading, perks numbered "i.", "ii.", "iii." etc, price label (e.g. "$9.99") and period label (e.g. "/ month"), an "Upgrade" button and a "Restore purchases" link
PROF-019 | Declining the upgrade dialog makes no billing call | Free user taps "Upgrade" on the premium card | 1. Tap "Upgrade" 2. Observe dialog titled "Switch to {Plan.name}?" explaining no charge is made 3. Tap "Not now" | Dialog closes; POST /api/billing/checkout is never called; user stays on the free plan
